ID,Title,Description,Source
11,Nasa shows what it's like inside a black hole,"Nasa has released footage simulating what it's like being sucked into a black hole, a region of space with such strong gravity not even light can escape. The simulation was processed by a supercomputer in five days - Nasa says on an everyday laptop it would have taken 10 years. BBC News Climate Editor Justin Rowlatt talks to a marine biologist about our warming oceans Aldridge gardener captures fox and five kits on camera shortly after mowing his lawn. The mission, billed a world first, aims to bring around two kilograms of lunar samples back to Earth. The mission, billed a world first, aims to bring around two kilograms of lunar samples back to Earth. It is the first time a creature in the wild has been seen using a medicinal plant to treat a wound. Palaeoanthropologist Emma Pomeroy describes the main features of the Shanidar Z Neanderthal skull. Local residents in Iraq film toxic gas release from oil field where BP operate Astrophysicist Rosemary Coogan graduates from Europe's astronaut training school. UK researchers want to understand what triggers the Antarctic to kick out city-sized icebergs. Ocean heat records have been breaking for months. This is the first global evidence of the impacts on sea life. The initials on the wall in Pompeii The BBC's Natural History Unit got a rare glimpse of the behaviour as climate change forces animals to adapt. The BBC's Natural History Unit got a rare glimpse of the behaviour as climate change forces animals to adapt. A UK company is making high-definition movies of Planet Earth from orbit. A UK company is making high-definition movies of Planet Earth from orbit. A UK company is making high-definition movies of Planet Earth from orbit. A UK company is making high-definition movies of Planet Earth from orbit. The most powerful rocket system ever built lifted off from its base in southeast Texas. BBC News is shown the secret site protecting the remains of the Sycamore Gap tree felled last year.",https://www.bbc.com/news/science-environment-68991593
12,"Men's T20 World Cup squads including England, India & Australia","India's Virat Kohli (left), England's Jos Buttler (centre) and Australia's Pat Cummins (right) will all be key figures for their sides All sides had to provide the International Cricket Council (ICC) with a provisional 15-man squad for the 2024 Men's T20 World Cup by 1 May. Changes can be made until 25 May, with alterations after that needing to be ratified by the ICC technical committee. T20 World Cup schedule Canada Saad Bin Zafar (captain), Aaron Johnson, Dilon Heyliger, Dilpreet Bajwa, Harsh Thaker, Jeremy Gordon, Junaid Siddiqui, Kaleem Sana, Kanwarpal Tathgur, Navneet Dhaliwal, Nicholas Kirton, Pargat Singh, Ravinderpal Singh, Rayyankhan Pathan, Shreyas Movva. Reserves: Tajinder Singh, Aaditya Varadharajan, Ammar Khalid, Jatinder Matharu, Parveen Kumar. India Rohit Sharma (captain), Yashasvi Jaiswal, Virat Kohli, Suryakumar Yadav, Rishabh Pant, Sanju Samson, Hardik Pandya, Shivam Dube, Ravindra Jadeja, Axar Patel, Kuldeep Yadav, Yuzvendra Chahal, Arshdeep Singh, Jasprit Bumrah, Mohammed Siraj. Reserves: Shubman Gill, Rinku Singh, Khaleel Ahmed and Avesh Khan. Pant to make India return at T20 World Cup Ireland Paul Stirling (captain), Mark Adair, Ross Adair, Andrew Balbirnie, Curtis Campher, Gareth Delany, George Dockrell, Graham Hume, Josh Little, Barry McCarthy, Neil Rock, Harry Tector, Lorcan Tucker, Ben White, Craig Young. Adair named in Ireland's squad for T20 World Cup Pakistan Yet to be announced United States Monank Patel (captain), Aaron Jones, Steven Taylor, Corey Anderson, Saurabh Netravalkar, Jessy Singh, Harmeet Singh, Nosthush Kenjige, Shadley Van Schalkwyk, Nitish Kumar, Andries Gous, Shayan Jahangir, Ali Khan, Nisarg Patel, Milind Kumar. Reserves: Gajanand Singh, Juanoy Drysdale, Yasir Mohammad. Ex-New Zealand all-rounder Anderson in USA World Cup squad Australia Mitchell Marsh (captain), Ashton Agar, Pat Cummins, Tim David, Nathan Ellis, Cameron Green, Josh Hazlewood, Travis Head, Josh Inglis, Glenn Maxwell, Mitchell Starc, Marcus Stoinis, Matthew Wade, David Warner, Adam Zampa. Smith left out of Australia's T20 World Cup squad England Jos Buttler (captain), Moeen Ali, Jofra Archer, Jonny Bairstow, Harry Brook, Sam Curran, Ben Duckett, Tom Hartley, Will Jacks, Chris Jordan, Liam Livingstone, Adil Rashid, Phil Salt, Reece Topley, Mark Wood. Archer named in England's T20 World Cup squad Namibia Gerhard Erasmus (captain), Zane Green, Michael Van Lingen, Dylan Leicher, Ruben Trumpelmann, Jack Brassell, Ben Shikongo, Tangeni Lungameni, Niko Davin, JJ Smit, Jan Frylinck, JP Kotze, David Wiese, Bernard Scholtz, Malan Kruger, PD Blignaut. Oman Aqib Ilyas (captain), Zeeshan Maqsood, Kashyap Prajapati, Pratik Athavale, Ayaan Khan, Shoaib Khan, Mohammad Nadeem, Naseem Khushi, Mehran Khan, Bilal Khan, Rafiullah, Kaleemullah, Fayyaz Butt, Shakeel Ahmad. Reserves: Jatinder Singh, Samay Shrivastava, Sufyan Mehmood, Jay Odedra. Scotland Richie Berrington (captain), Matthew Cross, Brad Currie, Chris Greaves, Oli Hairs, Jack Jarvis, Michael Jones, Michael Leask, Brandon McMullen, George Munsey, Safyaan Sharif, Chris Sole, Charlie Tear, Mark Watt, Brad Wheal. Jones and Wheal named in Scotland's World Cup squad Afghanistan Rashid Khan (captain), Noor Ahmad, Fazalhaq Farooqi, Rahmanullah Gurbaz, Naveen-ul-Haq, Mohammad Ishaq, Karim Janat, Nangyal Kharoti, Fareed Ahmad Malik, Gulbadin Naib, Mohammad Nabi, Azmatullah Omarzai, Mujeeb Ur Rahman, Ibrahim Zadran, Najibullah Zadran. Reserves: Sediq Atal, Hazratullah Zazai, Saleem Safi. New Zealand Kane Williamson (captain), Finn Allen, Trent Boult, Michael Bracewell, Mark Chapman, Devon Conway, Lockie Ferguson, Matt Henry, Daryl Mitchell, Jimmy Neesham, Glenn Phillips, Rachin Ravindra, Mitchell Santner, Ish Sodhi, Tim Southee. Reserve: Ben Sears. Papua New Guinea Assadollah Vala (captain), CJ Amini, Alei Nao, Chad Soper, Hila Vare, Hiri Hiri, Jack Gardner, John Kariko, Kabua Vagi Morea, Kipling Doriga, Lega Siaka, Norman Vanua, Sema Kamea, Sese Bau, Tony Ura. Uganda Brian Masaba (captain), Simon Ssesazi, Roger Mukasa, Cosmas Kyewuta, Dinesh Nakrani, Fred Achelam, Kenneth Waiswa, Alpesh Ramjani, Frank Nsubuga, Henry Ssenyondo, Bilal Hassun, Robinson Obuya, Riazat Ali Shah, Juma Miyaji, Ronak Patel. Reserves: Innocent Mwebaze, Ronald Lutaaya West Indies Rovman Powell (captain), Alzarri Joseph, Johnson Charles, Roston Chase, Shimron Hetmyer, Jason Holder, Shai Hope, Akeal Hossain, Shamar Joseph, Brandon King, Gudakesh Motie, Nicholas Pooran, Andre Russell, Sherfane Rutherford, Romario Shepherd. Bangladesh Yet to be announced Nepal Rohit Paudel (captain), Aasif Sheikh, Anil Kumar Sah, Kushal Bhurtel, Kushal Malla, Dipendra Singh Airee, Lalit Rajbanshi, Karan KC, Gulshan Jha, Sompal Kami, Pratis GC, Sundeep Jora, Abinash Bohara, Sagar Dhakal, Kamal Singh Airee. Netherlands Yet to be announced South Africa Aiden Markram (captain), Ottniel Baartman, Gerald Coetzee, Quinton de Kock, Bjorn Fortuin, Reeza Hendricks, Marco Jansen, Heinrich Klaasen, Keshav Maharaj, David Miller, Anrich Nortje, Kagiso Rabada, Ryan Rickelton, Tabraiz Shamsi, Tristan Stubbs. Reserves: Nandre Burger and Lungi Ngidi. Sri Lanka Wanindu Hasaranga (captain), Charith Asalanka (vc), Kusal Mendis, Pathum Nissanka, Kamindu Mendis, Sadeera Samarawickrama, Angelo Mathews, Dasun Shanaka, Dhananjaya De Silva, Maheesh Theekshana, Dunith Wellalage, Dushmantha Chameera, Nuwan Thushara, Matheesha Pathirana, and Dilshan Madushanka Reserves: Asitha Fernando, Vijayakanth Viyaskanth, Bhanuka Rajapaksa, and Janith Liyanage. Get cricket news sent straight to your phone",https://www.bbc.com/sport/cricket/articles/cne93vemvreo
13,"'My mistakes are my own,' says Zahawi on tax affairs","Former Chancellor Nadhim Zahawi has told the BBC he paid nearly £5m to authorities to settle his tax affairs. Speaking on Sunday with Laura Kuenssberg, he apologised for not being ""more explicit"" in his ministerial declaration on the settlement. But he insisted HMRC had found it was a non-deliberate, ""careless"" mistake. Mr Zahawi was sacked last year as Tory Party chairman after an ethics inquiry found he had failed to disclose that HMRC was investigating his taxes. Time-lapse videos show swirls of green, pink and scarlet moving across and lighting up the night sky. The prince made the comments as he visited St Mary’s Community Hospital on the Isles of Scilly. The Duke of Sussex spent Thursday afternoon at a charity event for children of fallen military personnel. Henry De Los Rios Polania told the BBC it is a “miracle” his family survived the attack at their home. Marianna Spring on how Ofcom wants to protect children from harmful content on social media. The duke was greeted by attendees, including actor Damien Lewis, before reading a Bible passage in St Paul's Cathedral. Queen Camilla was also in attendance at the first of Buckingham Palace's two annual summer parties. The Duke of Sussex will give a reading at the thanksgiving service in St Paul's Cathedral celebrating the 10th anniversary of the games. Ms Ghey was speaking to the BBC with other families whose children's deaths were linked to social media. A ""nationwide issue"" which caused huge delays at passport e-gates has been resolved. It's one year since King Charles and Queen Camilla were crowned in a lavish, historic ceremony. Labour's Sadiq Khan has thanked Londoners ""from the bottom of my heart"" after his re-election as mayor. The BBC’s analysis editor looks at the government’s proposed reforms to personal independence payments. ""I didn't come here to lie... I came to assist the inquiry,"" says former Post Office lawyer Jarnail Singh. Counsel Jason Beer suggested former Post Office lawyer Jarnail Singh gave a pre-emptive response. Labour's candidate Chris Webb wins Blackpool South with a huge swing away from the Conservatives. Mike Bushell gets sprinting tips from Britain's fastest sprinter - Zharnel Hughes. The distressing moment was captured on a doorbell camera, after which the suspect fled. Watch the key developments of the day in Hainault, which led to the death of a 14-year-old boy. Footage from a doorbell camera is released, showing police officers Tasering and detaining a man in Hainault, London.",https://www.bbc.com/news/uk-68998810
14,"UK arms exports change would make Hamas stronger, says Cameron","The UK's Foreign Secretary Lord Cameron has told the BBC that he does not support Israel's plans for a ground offensive in Rafah. However, he has also said the UK has no plans to copy the US and stop some arms sales to Israel if it launches a major ground operation in Rafah. Speaking to Sunday with Laura Kuenssberg, he said the UK's focus should be on getting humanitarian aid into Gaza. Time-lapse videos show swirls of green, pink and scarlet moving across and lighting up the night sky. The prince made the comments as he visited St Mary’s Community Hospital on the Isles of Scilly. The Duke of Sussex spent Thursday afternoon at a charity event for children of fallen military personnel. Henry De Los Rios Polania told the BBC it is a “miracle” his family survived the attack at their home. Marianna Spring on how Ofcom wants to protect children from harmful content on social media. The duke was greeted by attendees, including actor Damien Lewis, before reading a Bible passage in St Paul's Cathedral. Queen Camilla was also in attendance at the first of Buckingham Palace's two annual summer parties. The Duke of Sussex will give a reading at the thanksgiving service in St Paul's Cathedral celebrating the 10th anniversary of the games. Ms Ghey was speaking to the BBC with other families whose children's deaths were linked to social media. A ""nationwide issue"" which caused huge delays at passport e-gates has been resolved. It's one year since King Charles and Queen Camilla were crowned in a lavish, historic ceremony. Labour's Sadiq Khan has thanked Londoners ""from the bottom of my heart"" after his re-election as mayor. The BBC’s analysis editor looks at the government’s proposed reforms to personal independence payments. ""I didn't come here to lie... I came to assist the inquiry,"" says former Post Office lawyer Jarnail Singh. Counsel Jason Beer suggested former Post Office lawyer Jarnail Singh gave a pre-emptive response. Labour's candidate Chris Webb wins Blackpool South with a huge swing away from the Conservatives. Mike Bushell gets sprinting tips from Britain's fastest sprinter - Zharnel Hughes. The distressing moment was captured on a doorbell camera, after which the suspect fled. Watch the key developments of the day in Hainault, which led to the death of a 14-year-old boy. Footage from a doorbell camera is released, showing police officers Tasering and detaining a man in Hainault, London.",https://www.bbc.com/news/uk-68998809
15,Ros Atkins on... How different countries protect children online,"This week, the UK’s media regulator, Ofcom, set out new rules for social media companies - aimed at protecting children from harmful content online. More than 40 measures have been set out – including making firms change their algorithms and perform more rigorous age checks. Around the world, governments are considering – or have already passed – similar legislation.  Analysis editor Ros Atkins looks at what other countries are doing to try and protect children online. In a livestream on X, the patient explained that he was using a device in his brain to move the cursor. Piers Morgan and Oprah have criticised the use of AI deepfake ads used to promote a ""manifestation"" guide. BBC Click reporter Paul Carter tries out the Atom Limbs prosthetic with 'full range of human motion'. Jason lost his arm in an accident in 2012, and he's been working with Atom Limbs to test their prosthetic. The BBC's James Clayton tests out the latest tech at CES 2024 in Las Vegas. Researchers at University College London are investigating how the tech can help with early diagnoses. Here's what our main takeaways are from the long-awaited trailer for the gaming blockbuster. The pickup truck - Tesla’s latest offering - had its windows smashed during a demonstration in 2019. Billionaire Elon Musk told the British prime minister that he thinks AI could take over service sector jobs and play a role in education. Billionaire Elon Musk tells the British prime minister that AI will be smarter than the smartest human. The prime minister says Elon Musk's background in AI companies means he is worth speaking to. The King called for unity in addressing challenges ahead of a major UK summit on AI safety. The tech entrepreneur says ""you've got to start with insight before you do oversight"". The US tech giant is looking at ways it can automate more of its operations. With a team of 30 scientists, tech entrepreneur Bryan Johnson spends millions on his body every year. Google UK boss Debbie Weinstein tells people to ""use Google"" to check information from chatbot Bard. Workers in San Francisco were taking down the sign after Elon Musk's rebrand of the company. The BBC's James Clayton tries out Intel's ""Fakecatcher"", software which the company believes can help detect deepfake videos. Filmmakers are using AI to generate short films and adverts. But are they any good?",https://www.bbc.com/news/technology-68994263
16,Martin extends title lead with French Grand Prix win,"Jorge Martin came second in last season's overall standings Spain's Jorge Martin won a thrilling French Grand Prix to extend his advantage at the top of the MotoGP championship standings. The Pramac Racing rider started on pole, but was passed by Italy's Francesco Bagnaia on Sunday's opening lap. The pair battled it out for the lead for much of the race before Martin, 26, moved ahead with six laps to go and powered to victory. Six-time MotoGP championship winner Marc Marquez (Gresini Racing) - who had started 13th on the grid - then pipped Ducati's Bagnaia for second. ""I had a lot of doubts at the beginning of the race but finally I demonstrated to myself and all the people that need something else to prove that I was the best today,"" said Martin. Martin, who also won Saturday's sprint, improves his lead over second-placed Bagnaia to 38 points overall.",https://www.bbc.com/sport/articles/c4n1v90y4e2o
17,'I'm in shock' - England's Gill breaks 45-year-old record,"This video can not be played ""I'm in shock"" - England's Phoebe Gill breaks 45-year-old European 800m Under 18 record English 17-year-old Phoebe Gill runs an astonishing 800 metres time of one minute 57.86 seconds at the Belfast Irish Milers Meet to break the European Under-18 record of 1:59.65 set by East Germany’s Marion Geissler-Hübner in 1979. Read more here ",https://www.bbc.com/sport/athletics/articles/c90zew9zklvo
18,Evans loses WRC ground as Ogier wins in Portugal,"Elfyn Evans and co-driver Scott Martin finished more than six minutes behind Rally de Portugal winner Sebastien Ogier Elfyn Evans lost significant ground to World Rally Championship (WRC) leader Thierry Neuville after suffering problems as Sebastien Ogier won Rally de Portugal. Evans finished only sixth and also collected no Sunday points after overheating problems with his Toyota Yaris. Neuville, third in Portugal, has stretched his championship lead from six points to 24 after five rounds. ""I am happy to arrive at the end, see you in Sardinia,"" was Evans' verdict after the final stage. Welshman Evans fell out of contention for a second career win in Portugal on Friday. Already running in eighth, the 2021 winner lost a further minute when co-driver Scott Martin left his pacenote book at the stop control for stage six, and had to read notes from a mobile phone during the subsequent run which saw a tire come off the front-right rim of their GR Rally1 hybrid. Evans seeks winning WRC run McErlean takes first WRC2 podium in Rally Portugal Evans suffered further troubles on Sunday's penultimate stag, losing over a minute with his engine temperature drama, Martin having to push-start the Toyota before cruising home in EV mode. The pair collected six points for their Saturday placing, while Belgium's Neuville picked up 24 in total and his Hyundai team-mate Ott Tanak - second on the rally - 26. Evans' fellow Toyota driver Ogier banked 25 points after taking his 60th WRC victory with a record sixth win in Portugal. “Not a fantastic weekend for the whole team, but I did my best to bring maximum points for them. It’s a good feeling,” said eight-time world champion Ogier. Round six of the 13 race series is Rally Italia Sardegna, 30 May to 2 June. FIA World Rally Championship standings after Rally de Portugal (provisional) 1. Thierry Neuville (Belgium) Hyundai, 110 points 2. Elfyn Evans (Great Britain) Toyota, 86 points 3. Ott Tanak (Estonia) Hyundai, 79 points 4. Adrien Fourmaux (France) Ford, 71 points 5. Sebastien Ogier (France) Toyota, 70 points 6. Takamoto Katsuta (Japan) Toyota, 49 points",https://www.bbc.com/sport/articles/cxx8z4972y5o
19,GB suffer heavy defeat by Finland at Worlds,"Four-time World Championship winners Finland last claimed the title in 2022 Great Britain fell to a second consecutive defeat at the Ice Hockey World Championship with an 8-0 defeat by second seeds Finland. The heavy defeat followed a 4-2 opening loss to reigning champions Canada in the Czech Republic on Saturday. GB trailed Finland by a single goal after the opening period but conceded five in the second and another two in the third. Oliver Kapanen led the scoring with three goals for 2022 champions Finland, who lost against hosts Czech Republic following a shootout in their opening game. The result left Britain bottom of Group A, with their next match against Switzerland on Wednesday. GB captain Robert Dowd said: ""These aren't the games that will keep us at this level, which is our goal. These first few games are just building to the last couple, when we are going to try to steal some wins."" There are 16 teams competing for the world title, split initially across two round-robin groups. The top four teams in both groups will progress to the quarter-finals, while the two sides with the worst records after the group stage will be relegated from the top tier to Division I Group A for the 2025 championship.",https://www.bbc.com/sport/ice-hockey/articles/cv29yvknk43o
20,Watch: Northern Lights captured glowing over Europe,"The Northern Lights, also known as aurora borealis, have been seen lighting up the night sky over Europe. Time-lapse videos posted on social media show swirls of green, pink and scarlet moving across the sky. They became visible after one of the strongest geomagnetic storms for years hit Earth, with the US National Oceanic and Atmospheric Administration (NOAA) issuing a rare solar storm warning. The lights are caused by charged particles from the sun hitting gases in the Earth's atmosphere. The prince made the comments as he visited St Mary’s Community Hospital on the Isles of Scilly. The Duke of Sussex spent Thursday afternoon at a charity event for children of fallen military personnel. Henry De Los Rios Polania told the BBC it is a “miracle” his family survived the attack at their home. Marianna Spring on how Ofcom wants to protect children from harmful content on social media. The duke was greeted by attendees, including actor Damien Lewis, before reading a Bible passage in St Paul's Cathedral. Queen Camilla was also in attendance at the first of Buckingham Palace's two annual summer parties. The Duke of Sussex will give a reading at the thanksgiving service in St Paul's Cathedral celebrating the 10th anniversary of the games. Ms Ghey was speaking to the BBC with other families whose children's deaths were linked to social media. A ""nationwide issue"" which caused huge delays at passport e-gates has been resolved. It's one year since King Charles and Queen Camilla were crowned in a lavish, historic ceremony. Labour's Sadiq Khan has thanked Londoners ""from the bottom of my heart"" after his re-election as mayor. The BBC’s analysis editor looks at the government’s proposed reforms to personal independence payments. ""I didn't come here to lie... I came to assist the inquiry,"" says former Post Office lawyer Jarnail Singh. Counsel Jason Beer suggested former Post Office lawyer Jarnail Singh gave a pre-emptive response. Labour's candidate Chris Webb wins Blackpool South with a huge swing away from the Conservatives. Mike Bushell gets sprinting tips from Britain's fastest sprinter - Zharnel Hughes. The distressing moment was captured on a doorbell camera, after which the suspect fled. Watch the key developments of the day in Hainault, which led to the death of a 14-year-old boy. Footage from a doorbell camera is released, showing police officers Tasering and detaining a man in Hainault, London.",https://www.bbc.com/news/uk-68994265
21,Nasa shows what it's like inside a black hole,"Nasa has released footage simulating what it's like being sucked into a black hole, a region of space with such strong gravity not even light can escape. The simulation was processed by a supercomputer in five days - Nasa says on an everyday laptop it would have taken 10 years. BBC News Climate Editor Justin Rowlatt talks to a marine biologist about our warming oceans Aldridge gardener captures fox and five kits on camera shortly after mowing his lawn. The mission, billed a world first, aims to bring around two kilograms of lunar samples back to Earth. The mission, billed a world first, aims to bring around two kilograms of lunar samples back to Earth. It is the first time a creature in the wild has been seen using a medicinal plant to treat a wound. Palaeoanthropologist Emma Pomeroy describes the main features of the Shanidar Z Neanderthal skull. Local residents in Iraq film toxic gas release from oil field where BP operate Astrophysicist Rosemary Coogan graduates from Europe's astronaut training school. UK researchers want to understand what triggers the Antarctic to kick out city-sized icebergs. Ocean heat records have been breaking for months. This is the first global evidence of the impacts on sea life. The initials on the wall in Pompeii The BBC's Natural History Unit got a rare glimpse of the behaviour as climate change forces animals to adapt. The BBC's Natural History Unit got a rare glimpse of the behaviour as climate change forces animals to adapt. A UK company is making high-definition movies of Planet Earth from orbit. A UK company is making high-definition movies of Planet Earth from orbit. A UK company is making high-definition movies of Planet Earth from orbit. A UK company is making high-definition movies of Planet Earth from orbit. The most powerful rocket system ever built lifted off from its base in southeast Texas. BBC News is shown the secret site protecting the remains of the Sycamore Gap tree felled last year.",https://www.bbc.com/news/science-environment-68991593
